Graph,Scaling,StressOn,StressOff,Movement,Crowding

rugby-days-bends.json,0.14864362802414344,1.4955746288035596,1.4777945506875096,460.7615696994845,32
rugby-days-noBends-output.json,0.2176291357901485,3.8465133506453735,3.8234998846824073,4.001498692301229,66
rugby-weeks-bends-output.json,0.26333125430607973,13.393462834726277,12.899996805816972,193.956976238077,75
dialogues-keepNodes-bends-output.json,0.17985878990921358,31.636138838478146,31.64114904212243,75.39153516215923,1608
dialogues-keepNodes-noBends-output.json,0.2176291357901485,60.71677064985629,60.11900647374977,9.789976810069994,6915
newcomb-bends-output.json,0.3186308177103565,64.46643129353873,61.58143104579811,81.84956984036091,161
newcomb-noBends-output.json,0.42409761837248455,71.8209123065947,66.52459416840036,5.509690748978146,136
infoVis-bends-output.json,0.14864362802414344,991.0984877635522,397.61837801633277,27.074870498946968,57444
infoVis-noBends-output.json,0.14864362802414344,723.649012783888,272.7730865998069,24.295576743625773,61891