Dataset, Iterations, GPU, Runtime(ms)
Dialogues(bend every chapter), 100, Intel, 745.9650001525879
Dialogues(no bends), 100, Intel, 567.9550001621246
Dialogues(bend every chapter),100, AMD, 1041.7300000190735
Dialogues(no bends),100, AMD, 892.4000000953674

InfoVis(bend every year), 100, Intel, 2806.9749999046326
InfoVis(no bends), 100, Intel, 1652.460000038147
InfoVis(bend every year), 1000, Intel, 27815.460000038147
InfoVis(bend every year), 100, AMD, 2056.305000066757
InfoVis(no bends), 100, AMD, 1408.5950000286102
InfoVis(bend every year), 1000, AMD, 20339.039999961853

Newcomb(bend every week), 100, Intel, 241.64000010490417
Newcomb(no bends), 100, Intel, 226.74499988555908
Newcomb(bend every year), 100, AMD, 341.87000012397766

Rugby-days(no bends), 100, Intel, 228.8199999332428
Rugby-days(bend every day), 100, Intel, 1601.125
Rugby-days(bend every week), 100, Intel, 508.7650001049042
Rugby-days(bend every day), 1000, Intel, 16176.90499997139
Rugby-days(no bends), 100, AMD, 318.2699999809265
Rugby-days(bend every day), 100, AMD, 2735.2200000286102
Rugby-days(bend every day), 1000, AMD, 27523.05499982834

Rugby-weeks(no bends), 100, Intel, 228.22499990463257
Rugby-weeks(bends), 100, Intel, 359.67500019073486